neuron_id,normalized_soma_depth,layer,m_type
252232.0,0.036115358424076635,L1,
286641.0,0.048049986986479186,L1,NGC
286913.0,0.055322511552101904,L1,
255208.0,0.06414750481216297,L1,NGC
255218.0,0.06670853493772652,L1,NGC
255120.0,0.06879422714549475,L1,NGC
291125.0,0.07285027968935821,L1,NGC
291201.0,0.07594457881993717,L1,NGC
255137.0,0.08246807217205422,L1,NGC
291122.0,0.09853476704497537,L1,NGC
255129.0,0.10578322774461671,L1,MC
291116.0,0.1472864027441974,L2/3,MC
291204.0,0.1490373295941454,L2/3,MC
256514.0,0.15683610321348104,L2/3,BC
256424.0,0.1603924531778174,L2/3,BC
292832.0,0.16445540340798154,L2/3,
292624.0,0.16871019176163538,L2/3,NGC
292721.0,0.17402791041896054,L2/3,BPC
292867.0,0.1789319065302826,L2/3,BPC
256543.0,0.18177350916803775,L2/3,BPC
292675.0,0.185727110046284,L2/3,BPC
256622.0,0.18603505515603402,L2/3,BC
292864.0,0.18833784644470336,L2/3,MC
292890.0,0.19685954418778961,L2/3,
292649.0,0.1989973093741656,L2/3,BC
292669.0,0.20610388055284026,L2/3,BC
292670.0,0.20819583234933323,L2/3,MC
292831.0,0.21433671508934574,L2/3,BPC
256426.0,0.21636105596569807,L2/3,BPC
256446.0,0.21750848569323178,L2/3,MC
258362.0,0.23316116371701773,L2/3,BPC
294704.0,0.23455158494691317,L2/3,BPC
258379.0,0.23572033691034888,L2/3,BPC
294561.0,0.2373340459005047,L2/3,
258234.0,0.23922940359500638,L2/3,BC
258249.0,0.24168304128070506,L2/3,BC
258365.0,0.24746151256243187,L2/3,BPC
258281.0,0.24842947699445234,L2/3,BPC
294649.0,0.2562840611186069,L2/3,BC
294749.0,0.26563088666338575,L2/3,BC
258293.0,0.27079791435631684,L2/3,BPC
258292.0,0.2727306341976238,L2/3,BC
294825.0,0.2808000940764882,L2/3,MC
294506.0,0.291780425569749,L2/3,BC
296530.0,0.2964071102409518,L2/3,BC
260724.0,0.2980705398982828,L2/3,BPC
260620.0,0.2987216634661523,L2/3,BC
296527.0,0.31666684062348127,L2/3,BPC
296758.0,0.31793293709816434,L2/3,BC
260609.0,0.3244752595206996,L2/3,BC
260707.0,0.32573870529447896,L2/3,MC
260622.0,0.3305407178698969,L2/3,MC
260468.0,0.33096202301383193,L2/3,BPC
296738.0,0.33377260155772165,L2/3,BC
,0.33547164805063523,L2/3,
260541.0,0.3361314880942593,L2/3,MC
296398.0,0.3383468664100868,L2/3,MC
260519.0,0.34438067004681894,L2/3,BC
260803.0,0.35632312825182727,L2/3,BC
260718.0,0.36623715393016965,L4,BPC
296735.0,0.3682418503542753,L4,MC
298897.0,0.369775941090628,L4,BC
298957.0,0.3759056431948227,L4,BC
298937.0,0.3797247398893277,L4,MC
262909.0,0.3926927955167609,L4,BPC
262692.0,0.40039964861683136,L4,BPC
262957.0,0.40168028985752857,L4,BPC
298796.0,0.4023335388637143,L4,MC
298930.0,0.40622581799043733,L4,BC
298829.0,0.41525020807171353,L4,BPC
262779.0,0.4292702988687865,L4,NGC
262555.0,0.4311807583504409,L4,BC
298961.0,0.4312249320018953,L4,BPC
298802.0,0.4418826104909986,L4,BPC
298894.0,0.4453265110135971,L4,BPC
262805.0,0.4460366673327164,L4,BC
161736.0,0.44772139342890116,L4,MC
262642.0,0.46261615775183396,L4,BPC
262678.0,0.4639299630491012,L4,MC
262898.0,0.4653562251586917,L4,BPC
301193.0,0.48669262775907274,L4,BC
301227.0,0.4932878975392434,L5,BC
264849.0,0.499746997166632,L5,BC
264792.0,0.5041439676860029,L5,MC
399458.0,0.5077382154652643,L5,MC
264891.0,0.5128388974857199,L5,BC
301200.0,0.5176972091924001,L5,BPC
265035.0,0.5193633895954901,L5,BC
301245.0,0.5199560405765863,L5,BC
264649.0,0.5202680168544945,L5,MC
301120.0,0.5208042624811886,L5,BC
265036.0,0.5287011992886854,L5,BC
301218.0,0.532124880995345,L5,BC
229767.0,0.5321526718952927,L5,MC
398518.0,0.5347001487286228,L5,MC
264848.0,0.5416185065942606,L5,BC
301101.0,0.5416342810557051,L5,BC
264824.0,0.5454727907877593,L5,MC
264920.0,0.5504950023062773,L5,MC
264786.0,0.552344236721144,L5,BC
264932.0,0.5548278439650675,L5,
264898.0,0.5552408672809936,L5,BPC
301239.0,0.5564441498942113,L5,MC
301085.0,0.5581172129064194,L5,MC
300835.0,0.5604077159120603,L5,MC
368160.0,0.5615656103531272,L5,
301030.0,0.5640830924815303,L5,BPC
164494.0,0.5678713228994062,L5,MC
264783.0,0.5731208624511835,L5,BC
301107.0,0.5812579321662789,L5,MC
267293.0,0.5828605740059509,L5,BC
303149.0,0.5857713107819943,L5,MC
400905.0,0.5958512473580289,L5,BPC
266850.0,0.6038435058846952,L5,MC
267015.0,0.6098373749319907,L5,BC
303085.0,0.6206441151609824,L5,MC
267192.0,0.6214177812115245,L5,BC
302962.0,0.6263512584714096,L5,BC
267068.0,0.6317486660534434,L5,BC
267006.0,0.6406720258973002,L5,MC
267317.0,0.6501464688978456,L5,MC
303172.0,0.6514756768755678,L5,BC
303236.0,0.6626186899746777,L5,
267010.0,0.6645411064965894,L5,BC
302999.0,0.6658308762070765,L5,BC
303195.0,0.6714739832228019,L5,BC
269585.0,0.6741977720418645,L5,MC
269505.0,0.6756307034471657,L5,MC
404260.0,0.6835851310361288,L5,
340252.0,0.6878264742500482,L5,MC
305048.0,0.6947013387258906,L5,BC
269334.0,0.6950680042041464,L5,
269414.0,0.7123690504195475,L5,MC
269633.0,0.7131323075779002,L5,
305232.0,0.7145788430240819,L5,
305233.0,0.7167523015700576,L5,BC
305046.0,0.7218177223856672,L5,BC
269485.0,0.7233028793732075,L5,MC
404262.0,0.72611435333481,L5,
304990.0,0.7265826119247354,L5,BC
304980.0,0.7266786067517607,L5,BPC
305182.0,0.7284320236672112,L5,BC
305070.0,0.7310268492483596,L5,
305354.0,0.7580722688052861,L6,BC
305251.0,0.7712549323533693,L6,MC
271673.0,0.7752819888090505,L6,MC
305073.0,0.7778432182872659,L6,MC
307066.0,0.781756300890761,L6,
271569.0,0.8091231445151513,L6,
271700.0,0.8092321149322762,L6,BPC
307059.0,0.8124733298893754,L6,BPC
307012.0,0.8151024204540649,L6,
271886.0,0.8279171284546976,L6,BC
342238.0,0.8316884549773356,L6,MC
307126.0,0.8462541363276377,L6,BPC
307147.0,0.855523764530684,L6,
307287.0,0.8611568406134945,L6,BC
307264.0,0.8799598655513268,L6,BC
306988.0,0.8822218211965168,L6,BC
309052.0,0.8942894260853798,L6,
309376.0,0.8973344547072756,L6,BC
342232.0,0.8987122936978618,L6,BPC
309266.0,0.9070822449653947,L6,BPC
309480.0,0.9149932136328872,L6,MC
309279.0,0.9194605078813222,L6,BC
309508.0,0.9198831962022855,L6,BC
309578.0,0.939193241746085,L6,BC
309481.0,0.9429284410201142,L6,BC
309467.0,0.9616321981575215,L6,
274192.0,0.9629886061960736,L6,
309268.0,0.9666566573793575,L6,BPC
309241.0,0.9849751047096414,L6,MC
276440.0,0.9894328227252344,L6,
